action,att,att_img,action_description,icon_action,img_action,action_type,img_action_type,action_type1,action_type2,action_type3,counter,has_bonus,opp_has_bonus,action_condition,action_formula_lit,action_formula_array,action_energy,resultminus3,resultminus2,resultminus1,result3,result1,result2,result3,action_group_possib,action_detail
FORÇA DE VONTADE,INS,🔥,Resistência mental e determinação em não mudar de ideia e persistir no que determinou.,,,Rolagem Passiva,,🔒,,,CONVENCIMENTO,Desconfiado,,,,,1⚡,Não somente falha como fica totalmente desmoralizado (Estresse ou Culpa) e acaba se machucando ou machucando alguém. ,"Você não consegue resistir a investida do adversário, ou perde as esperanças, ficando preso num estado de Estresse ou Culpa até algo mudar na situação.","Se esforça bastante, mas no final acaba cedendo.","Durante sua tentativa de prosseguir, acaba identificando alguma coisa fora do seu alcance para conseguir resistir. Terá a chance de comunicar a alguém para receber ajuda.","Hesitando, você se mantêm firme na sua resolução. Mas tem que fazer alguam concessão ou gasta 1 Energia.","Você se mantêm firme, recuperando sua Energia (1) na sua autoconfiança.","Resiste qualquer investida mental. É capaz de continuar o que está fazendo apesar do medo, insegurança ou culpa. Inspira a todos os aliados presentes com +1d3 para a próxima ação pertinente ao uso da Força de Vontade.",❌,
ORIENTAÇÃO / SOBREVIVÊNCIA,INS,🔥,Navegar e encontrar direções em um lugar novo ou confuso.,,,"Rolagem Passiva, Ação",,💎,⏫,,Narração ,Conhecer o Ambiente,,,,,,"Está completamente perdido, já gastou 3 Energia e não conseguirá sair de onde está a menos que algo externo aconteça. / Encontra algo danoso e é obrigado a chegar mais perto ou ingerir.","Está bastante perdido, e precisará gastar 2 Energia e vencer uma rolagem de Força de Vontade ou afim para não perder o controle. / Encontra apenas algo potencialmente perigoso.","Está perdido, tem alguns elementos que dão alguma noção do caminho, mas teve que rodar muito para consegui-los. Gastou 2 Energias até agora, e se quiser sair deste lugar ou chegar até a interação com outro personagem, precisará gastar mais 2 Energias. / Perde tempo e energia procurando mas não encontra nada últil.","Receberá opções do Narrador, e deverá escolher entre elas. Sem saber qual é qual, uma é longa e tem obstáculos difíceis, outra é longa e sem muitos obstáculos, e uma é curta e com obstáculos médios.","Identifica alguns elementos que podem guiá-lo, mas ainda não é capaz de ver um caminho claro e prático. Gastando 1 Energia ele poderá chegar até a entreada por onde veio ou encontrar com algum outro personagem, amigo ou inimigo. / Gastando 1 Energia poderá encontrar algo útil, mas não ideal.",Começa a se encontrar. Gastando 1 Energia ele consegue chegar ao próximo passo da jornada. / Gastando 1 Energia consegue encontrar algo útil e apropriado pro que você precisa.,Se encontra com facilidade. Sabe por onde veio e para onde deve ir. / Encontra algo útil em quantidade suficiente para o que precisa.,⚖️,
CLARIVIDÊNCIA,INS,🔥,Receba ua pista ou mensagem críptica da narração. A dificuldade dependerá do quão misteriosa ou precisa for a mensagem.,,,Ação Bônus,,🔍,⏫,,Narração ,,,"Utilizar técnicas divinatórias como Cristalomancia, Astrologia, Quiromancia, etc., podem dar bônus.",,,1⚡,"Seu personagem se frustra de não conseguir divinar nenhuma única previsão. Se sentindo desamparado pelas suas habilidades, ele duvida de si e perde 1 Energia., além de ficar com Raiva ou Estresse ou Culpa.",Você recebe uma previsão que pode estar ou totalmente correta ou absurdamente errada.,Seu terceiro olho se recusa a abrir e dar qualquer insight que vá além dos sentidos.,"Sua clarividência parece bloqueada por alguma coisa, e precisará de algo externo para destravar.",Você recebe uma resposta vaga e que possibilita muitas interpretações.,"Você receberá uma resposta minimamente precisa e específica, mas ainda aberta a interpretações.","O Narrador lhe dá uma previsão precisa do presente, ou diz algo não muito obscuro ou aberto que deverá necessariamente ocorrer no futuro.",❌,
PROTEGER OUTREM,SIM,❤️,Defender outro ao invés de si mesmo.,,,"Ação em Conjunto, Ação",,🛡,⏫,➕,ATK,Relação ou Afeto,,"Quanto mais forte a relação entre o protetor e o protegido, mais bônus.",SIM + Proficiência com Feitiço + Relação com Protegido + Bônus + 1d3Fixo,,2⚡,"Acaba agravando a investida do atacante, causando 2x o dano e efeito do ataque.","Você falha, deixando seu protegido vulnerável e você recebe um marcador de Culpa. Alvo fará uma ação de resistência caso não seja sua vez e não tiver tempo de agir.","Sua proteção não é capaz de barrar a investida do adversário, mas o ataque é levemente minimizado ao atravessar sua barreira (50% do dano e efeito).","Você precisa improvisar a proteção utilizando alguma coisa externa. Se tiver sucesso com essa nova ação, seu alvo estará protegido com com o valor da proteção de bônus para defesa.","Seu alvo fica protegido com 1x o ""dano"" de bônus para defesa.","Seu alvo fica protegido com 2x o ""dano"" de bônus para defesa.","O dano direcionado ao seu alvo será refletido para o atacante, ou você protege o seu alvo com sucesso e ganha uma nova vez para agir imediatamente.",🤝,
CURAR,SIM,❤️,"Restaurar a saúde e tratar ferimentos, recuperando PdV e remover efeitos e condições.",,,Ação,,➕,🛡,,"Narração, Maldição / Infligir Dor",Relação ou Afeto,,Precisa ter os itens necessários.,SIM + Proficiência com Feitiço + Relação com Sujeito + Bônus + 1d3Fixo,, 1⚡*,"Você piora o quadro do alvo. Ele perde 2x o ""dano"" e pode receber algum status negativo aleatório, como Ferido, Sangrando, Envenenado, etc. Você receberá 2 marcadores de Culpa.","Se atrapalha e não é capaz de curar o alvo. Acaba machucando-o um pouco mais, fazendo-o perder 1x ""dano""","Causa dor no alvo, mas não é capaz de melhorar nem piorar a situação. Sentirá Culpa ou Estresse.","Você percebe que para realizar a cura, necessitará de algo que não tem no momento.","Alvo recupera 1 ponto de vida e limpa a condições básicas como Ferido, Sangrando, se não for algo grave demais.","Alvo recupera até 1x o ""dano"" e perde algum efeito negativo, desde que com a poção ou feitiços corretos.","Alvo recupera 2x o ""dano"" e perde efeitos negativos, desde que com a poção ou feitiços corretos. Fica estável até algum tratamento futuro.",⚖️,
PERSUADIR,SIM,❤️,Convencer outros com argumentos.,,,Ação,,💬,,,Força de Vontade,Sensível,,,SIM + Relação com Sujeito + Bônus + 1d3Fixo,,,"Alvo não cede de forma alguma e na realidade se mostra ainda mais resistente à sua ideia do que estava originalmente. Agora Desconfiado, alvo resistirá a investidas futuras com +1d3",Alvo continua resistente e não cede.,"Não estando convencido nem dissuadido, o alvo indica que precisa de algo para ser totalmente convencido.","Alvo está resistente, porém aceita fazer uma pequena concessão.",Alvo se mostra aberto a fazer uma consessão razoável.,"Alvo está praticamente convencido, e aceita ajudar, mas  não se torna um aliado.",Alvo fica totalmente convencido da sua proposta e irá cooperar com você nas próximas ações.,⚖️,
BARGANHAR,SIM,❤️,Negociar acordos e trocas vantajosas.,,,Ação,,💬,🔒,,Barganhar,Sensível,,,SIM + Relação com Sujeito + Bônus + 1d3Fixo,,,"O alvo não aceita sua proposta de maneira nenhuma, e fica ofendido e hostil com a proposta.","A barganha não funciona muito bem, e você acaba tendo que pagar bem mais do que normalmente deveria se ainda quiser o item, e fica com Estresse ou Raiva.","Não dá muito certo, e você acaba tendo que pagar um pouco mais do que normalmente deveria se ainda quiser o item.",Consegue apenas a promessa de que caso inclua mais um item o qual você não estava disposto a abrir mão haverá um trato feito.,Consegue convencer o alvo a lhe oferecer o item por um preço razoável.,"Consegue convencer o alvo a lhe oferecer o item por um preço mínimo, e ainda ganhar algo mais como cortesia.","Você se dá muito bem e faz um negócio muito vantajoso para você, que também parece ser muito vantajoso para seu alvo, que acaba ficando satisfeito quanto você.",⚖️,
SEDUZIR,SIM,❤️,Encantar e atrair romanticamente.,,,Ação em Conjunto ,,💬,,,Força de Vontade,Sensível,Focado,,,,,"Alvo percebe sua investida e pode se tornar hostil. Seu personagem fica desmoralizado e envergonhado, e está mais sujeito a Intimidação por um tempo.","Não cai na sua investida, mas pode fingir que funcionou, só para lhe surpreender posteriormente, o que pode ou não acontecer.","Não cai na sua sedução, permanecendo indiferente às suas investidas.",Percebe que está prestes a conseguir dar a cartada final para conquistar o alvo. Mas algo está faltando....,Alvo fica interessado e está mais inclinado a fazer o que você pede.,"Alvo fica bastante interessado, mas vai ficar no seu pé, enquanto segue suas recomendações.","Tem a total atração do alvo, que passa a cooperar com você e fazer praticamente tudo o que você recomenda.",❌,
INSPIRAR,SIM,❤️,Motivar e influenciar positivamente. Pode alterar a emoção de alguém para melhorar seus bônus.,,,Ação Bônus,,⏫,➕,,"Narração, Força de Vontade","Sensível, Afeto, Relação",* Desregulado,,,,1⚡,"Você falha miseravelmente e acaba piorando o estado do seu alvo, o que te deixa com Culpa e/ou Estresse. Você gasta o dobro da Energia.","Seu alvo se sente inspirado e motivado, mas não tem nenhum bônus para fazer nada. Ele terá que fazer um teste de Força de Vontade. Se falhar, terá que tentar fazer o que você o inspirou, mesmo sem o bônus.","Sua tentativa não tem resultado no alvo, que lhe ignora veementemente.","Não consegue de primeira, mas no meio do processo, você tem uma ideia clara de algo que possa funcionar para inspirar seu alvo. ","Seu alvo está se sentindo um pouco mais inspirado, mas só terá 1d3 para fazer uma ação específica determinada pela Narração.","Você consegue mudar uma emoção de todos os seus aliados ao redor, ocasionando neles poderem usar o bônus relacionado a esta emoção. ","Consegue deixar as emoções do alvo do jeito que você quiser, dando o bônus quevem com ela. Seu alvo agora tem mais uma ação para realizar imediatamente.",❌,
IMPLORAR,SIM,❤️,Fazer pedidos fervorosos.,,,Rolagem Passiva,,🔒,💬,,"Resistir Súplica, Força de Vontade",,,,SIM + Relação com Sujeito + Bônus + 1d3Fixo,,,"O coração do seu adversário se endurece ainda mais, fortalecendo suas defesas contra qualquer tipo de convencimento em +3 de bônus.","Seu adversário não cede à sua súplica, continuando exatamente como antes.","Na medida que você implora, seu adversário faz um mínimo alívio ou concessão a seu favor.","Seu adversário concorda em atender o que você suplica, porém por um preço ou favor.","Seu adversário atende parcialmente a sua súplica, embora ainda bastante contrariado.","Seu adversário atende a sua súplica, porém sem mudar de ideia totalmente.","Seu adversário atende a sua súplica, e deixa de fazer o que estava fazendo, ou lhe dá o que você precisa, sem ressalvas. Além disso, ele ainda lhe ajuda com algo em seguida.",⚖️,
ACALMAR,SIM,❤️,"Pacificar indivíduos, ou acalmar criaturas. Pode alterar os sentimentos do alvo, dando-o bônus do sentimento em questão.",,,Ação,,💬,➕,⏫,Narração ,Sensível,,,,,,"Deixa o alvo mais assustado, frenético, triste ou agressivo, dando-o +1d3 para as ações que condigam com as emoções que ele está apresentando.","A incapacidade de acalmar o alvo te desgasta, te deixando com Raiva e gastando 1 Energia.",Alvo não se afeta com sua tentativa de acalmá-lo.,Você percebe o que iria deixar o alvo calmo.,"Alvo se acalma um pouco e deixa de ser uma ameaça, mas você fica apreensiv; um marcador de Desconfiado.",Alvo fica calmo e você fica Satisfeito.,"Consegue deixar o alvo totalmente em paz e sereno, que ganha sua confiança e se mostra disposto a ajudar.",❌,
DOMAR / TREINAR,SIM,❤️,Controlar e treinar animais ou bestas.,,,Ação,,💬,,,Desafiar,Experiência em Criaturas,seu personagem tiver Medo,Tem bônus se usar Acalmar ou Intimidar a criatura antes.,,,1⚡,A criatura que você tenta domar fica ainda mais hostil ou amedrontada. Ela terá +3 de bônus para fugir ou atacar. Seu personagem gana um marcador de Medo.,"A criatura fica resistente e desconfiada, e terá bônus de +2 para fugir ou atacar. Seu personagem ganha um marcador de Medo.","Você hesita justo antes de conseguir domar a criatura, perdendo o timing e a capacidade de ganhar a dominância dela.","A criatura parece estar curiosa, e deve existir algo próximo que possa ajudar a ganhá-la totalmente.","A criatura é dissuadida de atacar ou fugir, mas ainda permanece apreensiva.","A criatura dá abertura, deixa inclusive ser tocada de leve, sem movimentos bruscos, mas não montada, nem oferecerá nenhum auxílio.","A criatura se rende totalmente e confia em você, de forma que passa a ser sua aliada daí pra frente. ",⚖️,
CONTATOS,SIM,❤️,Conhecimento e acesso à rede de contatos.,,,Ação Bônus,,🔍,⏫,,Narração ,,,,SIM + Bônus + 1d3Fixo,,,Não conhece ninguém,Conhece alguém mas não consegue lembrar de onde ou como,Conhece alguém mas em algum lugar perigoso,Conhece alguém em algum lugar longe ou inacessível no momento,Conhece aguém que conhece alguém,Conhece alguém ,Conhece alguém próximo e com fácil acesso,❌,
RELAÇÃO,SIM,❤️,Determinar a natureza da relação entre personagens.,,,Ação Bônus,,🔍,⏫,,Narração ,,,,,,,"Você e o alvo são inimigos declarados. Tem -1d3 para ações de Simpatia, e ganha um marcador de Raiva ou Desconfiança. ",O alvo não gosta do seu personagem por algum motivo que você desconhece.,Conhece o alvo de vista e ele tem uma antipatia para com o seu personagem.,Não conhece o alvo.,Conhece o alvo de vista.,Conhece o alvo de cumprimentar e ter uma conviência harmoniosa. Tem +1d3 ara ações de Simpatia com essa pessoa.,Conhece e tem a confiança e estima do alvo. Tem +2d3 para ações de Simpatia com a pessoa. ,❌,
SENSIBILIDADE,SIM,❤️,"Perceber as emoções e intenções dos outros. “Leia” um personagem, identificando qual tipo de abordagem funcionará melhor, e intuindo quais temas podem ser atrativos ou sensíveis. ",,,Ação Bônus,,🔒,🔍,⏫,Oclumência,"adv. tiver Afeto, ou Distraído",Focado ou Desconfiado,"Aplica a condição Sensível, o que quer dizer que seu personagem está mais suscetível a entender com quem estiver interagindo.",SIM + Relação com Sujeito + Bônus + 1d3Fixo,,,"Não consegue identificar a resposta, mas acaba desenvolvendo um laço emocional unilateral, que o dificultará o seu personagem causar dano ao alvo, ou ficar quieto caso alguém o faça.
Se Legilimência: Alvo percebe imediatamente que você está tentando penetrar sua mente e se torna hostil. A oclumência dele causa um efeito reverso em você que te deixa sob status Confundido.","Não consegue identificar nenhuma resposta útil.
Se Legilimência: Alvo suspeita que você está tentando ler sua mente, e se fecha com oclumência com sucesso. ","Consegue identificar somente a emoção externa que o alvo está deixando passar.
Se Legilimência: Encontra fragmentos confusos e desconexos que têm mais potencial para atrapalhar do que para ajudar.","Desenvolve uma empatia e curiosidade pelo alvo, o que dará +1d3 para qualquer ação de Simpatia caso consiga interagir mais com ele. 
Se Legilimência: Ao não conseguir clareza na sua tentativa, você percebe que é necessária uma boa distração para conseguir a brecha que você precisa.","Consegue identificar a resposta que buscava.
Se Legilimência: Sua investida é capaz de extrair itens superficiais, que não estejam muito profundamente escondidos ou protegidos. O seu alvo saberá que você está usando legilimência.","Consegue a resposta e de quebra identifica uma vontade a curto prazo do alvo, ou percebe o que o atrai ou repele.
Se Legilimência: Você ultrapassa as defesas do alvo e consegue extrair itens profundos, porém em forma simbólica e não tão clara.","Tem sua resposta, consegue identificar uma ambição intrínseca, um gosto ou amor essencial, ou um medo profundo facilmente, e tem +1d3 para rolagens de SIM com ele até ele mudar de emoção.
Se Legilimência: Você consegue percorrer a mente do alvo como um lugar conhecido, extraindo exatamente o que você precisa, e sem deixar vestígios.",❌,
LIDERAR / COORDENAR,SIM,❤️,,,,Ação Bônus,,⏫,➕,,Narração,Grupo Coeso,Grupo Descordenado,"Organizar ações conjuntas, fazer com que um grupo aja de forma coordenada, aumentar a eficiência de aliados em táticas em grupo.",SIM + Bônus + 1d3Fixo,,1⚡,Há hesitação e confusão; a ação em grupo tem -1d3 no total final,"Os aliados se desentendem ou agem em momentos errados. A ação coletiva falha e gera problemas (como atraso, ruído, dispersão).",A coordenação é fraca; cada um age por conta própria. Apenas um aliado executa a ação como esperado...,"Os aliados executam a ação, mas sem benefícios extras. Independente do tipo de ação, apenas o valor do personagem mais alto vale.",A ação coordenada soma todos os valores dos participantes ou média (se for o caso) normalmente.,"Além da soma normal, o grupo ganha +1d3 bônus no total.","Execução perfeita; além da soma e bônus, o grupo pode agir novamente, ou, se for fora de combate, ficam Inspirados por três ações.",❌,
MIRAR,RAZ,⚙️,"Apontar com precisão. Executar algum ataque a um lugar específico, que tenha mais a ver com precisão do que com força. Gastar uma ação com MIRAR garante bônus em certas ações seguintes.",,,"Ação, Rolagem Passiva",,⚔,⏫,,DEF,Focado,Em movimento,"Precisa não estar sob efeito de Raiva ou Estresse, ou ter tido sucesso em Focaar antes. Pode ser usada como oposto de DESVIAR, na forma Rolagem Passiva.","RAZ + Proficiência com Feitiço ou Arma + Bônus + 1d3Fixo
",,2⚡,"Erra feio e acaba acertando algo que causa problemas, como quebrando algo valioso ou perigoso, ou machucando alguém ou a si.","Erra e sua varinha ou arma cai no chão, perto de você.",Erra por um triz.,Acerta de raspão.,"Acerta numa região não muito séria, causa Efeito Menor .","Acerta numa região importante mas não crítica, causa Efeito.","Acerta em cheio, causando Dano + Efeito Extra.",❌,
PROTEGER-SE,RAZ,⚙️,Criar ou usar escudos para defender-se contra ameaças.,,,Ação,,🛡,⏫,⭯,ATK,Alerta,,"Com sucesso +2 e crítico, não perde a vez, tendo a chance de revidar.",RAZ + Proficiência com Feitiço ou Arma / Valor de DEF + Bônus + 1d3Fixo,,2⚡,"Você erra e não consegue gerar a proteção, recebendo o ataque em cheio. E fica Atordoado na próxima rodada, ou recebe dano extra. Ou faz sua proteção e não percebe que ela é inútil.","Você erra e não consegue gerar a proteção, recebendo o ataque em cheio. Ou faz sua proteção e percebe que ela é inútil.","Você faz uma proteção não muito eficaz, e o ataque inimigo lhe atinge, porém com menor efeito (50%) ao passar pelo escudo.","Você faz uma proteção não muito eficaz, que ocorre num resultado inesperado.","Se protege do ataque por um triz. Seu escudo se quebra no final na investida do adversário, dando a ele a vez.","Sua proteção consegue refletir 50% do ataque com sucesso. Se for uma proteção não instantânea, ela continua ativa.","Você consegue não somente refletir o ataque, como também ganha uma vez extra para agir em sequência. Se for uma proteção não-instantânea, ela permanece ativa pelo dobro do tempo.",🤝,
